Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
1,Tua,1,Blouse,Clothing,Medium,Kentucky,L,Gray,Winter,Fair,Yes,Express,Yes,Yes,Regular Customer,Venmo,Fortnightly
2,Muda,1,Sweater,Clothing,Medium,Maine,L,Maroon,Winter,Fair,Yes,Express,Yes,Yes,New Customer,Cash,Fortnightly
3,Dewasa,1,Jeans,Clothing,High,Massachusetts,S,Maroon,Spring,Fair,Yes,Free Shipping,Yes,Yes,Regular Customer,Credit Card,Weekly
4,Muda,1,Sandals,Footwear,High,Rhode Island,M,Maroon,Spring,Fair,Yes,Next Day Air,Yes,Yes,Loyal Customer,PayPal,Weekly
5,Dewasa,1,Blouse,Clothing,Medium,Oregon,M,Turquoise,Spring,Poor,Yes,Free Shipping,Yes,Yes,Loyal Customer,PayPal,Annually
6,Dewasa,1,Sneakers,Footwear,Low,Wyoming,M,White,Summer,Poor,Yes,Standard,Yes,Yes,Regular Customer,Venmo,Weekly
7,Tua,1,Shirt,Clothing,High,Montana,M,Gray,Fall,Fair,Yes,Free Shipping,Yes,Yes,Loyal Customer,Cash,Quarterly
8,Muda,1,Shorts,Clothing,Low,Louisiana,L,Charcoal,Winter,Fair,Yes,Free Shipping,Yes,Yes,Regular Customer,Credit Card,Weekly
9,Muda,1,Coat,Outerwear,High,West Virginia,L,Silver,Summer,Poor,Yes,Express,Yes,Yes,New Customer,Venmo,Annually
10,Tua,1,Handbag,Accessories,Low,Missouri,M,Pink,Spring,Excellent,Yes,2-Day Shipping,Yes,Yes,New Customer,Cash,Quarterly
11,Tua,1,Shoes,Footwear,Low,Arkansas,L,Purple,Fall,Very Good,Yes,Store Pickup,Yes,Yes,Loyal Customer,Bank Transfer,Bi-Weekly
12,Muda,1,Shorts,Clothing,Medium,Hawaii,S,Olive,Winter,Excellent,Yes,Store Pickup,Yes,Yes,New Customer,Bank Transfer,Fortnightly
13,Tua,1,Coat,Outerwear,High,Delaware,M,Gold,Winter,Very Good,Yes,Express,Yes,Yes,Loyal Customer,Venmo,Fortnightly
14,Tua,1,Dress,Clothing,Medium,New Hampshire,M,Violet,Spring,Excellent,Yes,Express,Yes,Yes,Loyal Customer,PayPal,Weekly
15,Tua,1,Coat,Outerwear,Medium,New York,L,Teal,Winter,Excellent,Yes,Free Shipping,Yes,Yes,Loyal Customer,Debit Card,Weekly
16,Tua,1,Skirt,Clothing,High,Rhode Island,M,Teal,Winter,Poor,Yes,Store Pickup,Yes,Yes,New Customer,PayPal,Monthly
17,Muda,1,Sunglasses,Accessories,Low,Alabama,S,Gray,Spring,Very Good,Yes,Next Day Air,Yes,Yes,Loyal Customer,Debit Card,Bi-Weekly
18,Tua,1,Dress,Clothing,Low,Mississippi,XL,Lavender,Winter,Excellent,Yes,2-Day Shipping,Yes,Yes,Loyal Customer,Venmo,Quarterly
19,Tua,1,Sweater,Clothing,Medium,Montana,S,Black,Summer,Excellent,Yes,Free Shipping,Yes,Yes,Regular Customer,Cash,Weekly
20,Tua,1,Pants,Clothing,High,Rhode Island,M,Green,Summer,Fair,Yes,Standard,Yes,Yes,Loyal Customer,Debit Card,Bi-Weekly
21,Muda,1,Pants,Clothing,Medium,Louisiana,M,Black,Winter,Poor,Yes,Express,Yes,Yes,Loyal Customer,Cash,Every 3 Months
22,Dewasa,1,Pants,Clothing,Medium,North Carolina,M,Charcoal,Winter,Very Good,Yes,Store Pickup,Yes,Yes,Regular Customer,Debit Card,Quarterly
23,Tua,1,Pants,Clothing,Low,California,M,Peach,Summer,Fair,Yes,Store Pickup,Yes,Yes,Loyal Customer,Debit Card,Annually
24,Dewasa,1,Pants,Clothing,High,Oklahoma,XL,White,Winter,Very Good,Yes,Express,Yes,Yes,Loyal Customer,Credit Card,Weekly
25,Muda,1,Jacket,Outerwear,Low,Florida,M,Green,Fall,Poor,Yes,Store Pickup,Yes,Yes,Regular Customer,Debit Card,Weekly
26,Muda,1,Hoodie,Clothing,Low,Texas,M,Silver,Summer,Good,Yes,Express,Yes,Yes,Regular Customer,PayPal,Annually
27,Dewasa,1,Jewelry,Accessories,Low,Nevada,M,Red,Spring,Good,Yes,Next Day Air,Yes,Yes,Regular Customer,Credit Card,Annually
28,Tua,1,Shorts,Clothing,Medium,Kentucky,L,Cyan,Summer,Excellent,Yes,Next Day Air,Yes,Yes,New Customer,Bank Transfer,Every 3 Months
29,Tua,1,Handbag,Accessories,High,North Carolina,M,Gray,Fall,Very Good,Yes,Free Shipping,Yes,Yes,Loyal Customer,PayPal,Every 3 Months
30,Dewasa,1,Dress,Clothing,Medium,Wyoming,S,Black,Fall,Very Good,Yes,Store Pickup,Yes,Yes,Regular Customer,Credit Card,Weekly
31,Tua,1,Jewelry,Accessories,Low,North Carolina,L,Black,Winter,Excellent,Yes,Standard,Yes,Yes,Regular Customer,Credit Card,Monthly
32,Dewasa,1,Dress,Clothing,High,West Virginia,L,Brown,Winter,Excellent,Yes,Store Pickup,Yes,Yes,Loyal Customer,Venmo,Monthly
33,Dewasa,1,Jacket,Outerwear,Medium,Kansas,M,Silver,Summer,Excellent,Yes,Free Shipping,Yes,Yes,Loyal Customer,Venmo,Annually
34,Tua,1,Pants,Clothing,Low,Colorado,L,Green,Summer,Fair,Yes,Store Pickup,Yes,Yes,Loyal Customer,Cash,Quarterly
35,Dewasa,1,T-shirt,Clothing,High,North Dakota,L,Violet,Spring,Excellent,Yes,2-Day Shipping,Yes,Yes,Loyal Customer,PayPal,Quarterly
36,Tua,1,Blouse,Clothing,Low,Massachusetts,M,Cyan,Summer,Good,Yes,2-Day Shipping,Yes,Yes,Loyal Customer,Credit Card,Bi-Weekly
37,Dewasa,1,T-shirt,Clothing,Medium,Illinois,M,Maroon,Winter,Excellent,Yes,Free Shipping,Yes,Yes,Loyal Customer,PayPal,Fortnightly
38,Dewasa,1,Jeans,Clothing,Medium,Indiana,S,Cyan,Summer,Poor,Yes,Store Pickup,Yes,Yes,New Customer,PayPal,Weekly
39,Muda,1,Dress,Clothing,Low,Florida,M,Red,Winter,Good,Yes,2-Day Shipping,Yes,Yes,Loyal Customer,Venmo,Every 3 Months
40,Tua,1,Pants,Clothing,Medium,Arizona,S,Turquoise,Summer,Very Good,Yes,Express,Yes,Yes,Regular Customer,Credit Card,Monthly
41,Tua,1,Handbag,Accessories,High,Louisiana,L,Beige,Winter,Excellent,Yes,Next Day Air,Yes,Yes,Loyal Customer,Debit Card,Quarterly
42,Tua,1,Scarf,Accessories,Low,Alaska,M,Orange,Spring,Very Good,Yes,Standard,Yes,Yes,Loyal Customer,Venmo,Annually
43,Muda,1,Coat,Outerwear,High,Tennessee,M,Beige,Spring,Very Good,Yes,Free Shipping,Yes,Yes,Regular Customer,PayPal,Annually
44,Muda,1,Scarf,Accessories,Medium,Ohio,L,Lavender,Fall,Good,Yes,Store Pickup,Yes,Yes,Regular Customer,PayPal,Fortnightly
45,Dewasa,1,Hat,Accessories,Medium,Kentucky,S,Silver,Summer,Excellent,Yes,Free Shipping,Yes,Yes,Loyal Customer,PayPal,Weekly
46,Dewasa,1,Socks,Clothing,Low,Tennessee,XL,Indigo,Fall,Poor,Yes,2-Day Shipping,Yes,Yes,Regular Customer,PayPal,Annually
47,Tua,1,Shirt,Clothing,Medium,California,L,White,Summer,Poor,Yes,Store Pickup,Yes,Yes,Loyal Customer,Cash,Quarterly
48,Tua,1,Jewelry,Accessories,Medium,Montana,M,Charcoal,Winter,Very Good,Yes,Free Shipping,Yes,Yes,Loyal Customer,Cash,Weekly
